,, Клуб , Имя 
,,  Локомотив , Алексей Батраков 
,,  Краснодар , Эдуард Сперцян 
,,  Динамо , Бителло 
,,  Рубин , Угочукву Иву 
,,  Рубин , Мирлинд Даку 
,,  ЦСКА , Матвей Кисляк 
,,  ЦСКА , Иван Обляков 
,,  Балтика , Саусь 
,,  Крылья Советов , Вадим Раков 
,,  Локомотив , Дмитрий Баринов 
,,  Балтика , Андраде 
,,  Спартак , Эсекиэль Барко 
,,  Акрон , Артем Дзюба 
,,  Пари НН , Олакунле Олусегун 
,,  Балтика , Илья Петров 
,,  ЦСКА , Данил Круговой 
,,  Зенит , Густаво Мантуан 
,,  Балтика , Максим Петров 
,,  Динамо , Касерес 
,,  Динамо , Фомин 
,,  Акрон , Дмитрий Пестряков 
,,  Ростов , Константин Кучаев 
,,  Ахмат , Исмаэл 
,,  Оренбург , Хорди Томпсон 
,,  Балтика , Бориско 
,,  Локомотив , Зелимхан Бакаев 
,,  Пари НН , Хуан Боселли 
,,  Динамо , Максим Осипенко 
,,  Краснодар , Джон Кордоба 
,,  Краснодар , Тормена 
,,  Рубин , Дмитрий Кабутов 
,,  ЦСКА , Мойзес 
,,  Динамо , Данил Глебов 
,,  Спартак , Наиль Умяров 
,,  Краснодар , Диего Коста 
,,  Динамо Махачкала , Никита Глушков 
,,  Крылья Советов , Фернандо 
,,  Краснодар , Сергей Петров 
,,  Динамо , Иван Сергеев 
,,  Динамо Махачкала , Мохаммад Хоссейннежад 
,,  Балтика , Гассама 
,,  Балтика , Варатынов 
,,  Балтика , Александр Хиль 
,,  Сочи , Антон Зиньковский 
,,  Локомотив , Александр Руденко 
,,  Зенит , Вильмар Барриос 
,,  Крылья Советов , Сергей Божин 
,,  ЦСКА , Кирилл Глебов 
,,  Спартак , Кристофер Мартинс 
,,  Краснодар , Виктор Са 
,,  Рубин , Велдин Ходжа 
,,  Зенит , Дуглас Сантос 
,,  Динамо , Денис Макаров 
,,  Зенит , Луис Энрике 
,,  Акрон , Стефан Лончар 
,,  Краснодар , Станислав Агкацев 
,,  Краснодар , Никита Кривцов 
,,  Динамо Махачкала , Джемал Табидзе 
,,  Балтика , Бевеев 
,,  Оренбург , Эмирджан Гюрлюк 
,,  Зенит , Андрей Мостовой 
,,  Локомотив , Дмитрий Воробьев 
,,  Спартак , Жедсон Фернандеш 
